fecha,año,mes,dia,dia_semana,mes_hoja_original,codigo_grupo,nombre_grupo,codigo_linea,nombre_linea,codigo_producto,referencia_producto,descripcion_producto,unidad_medida,cantidad_vendida_diaria,valor_total_diario,peso_aplicado,evento_especial
2025-04-05,2025,4,5,Saturday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,1,7473.98,1.65,
2025-04-06,2025,4,6,Sunday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,3986.12,0.88,
2025-04-07,2025,4,7,Monday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,3487.86,0.77,
2025-04-08,2025,4,8,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,2853.7,0.63,
2025-04-09,2025,4,9,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,4892.06,1.08,
2025-04-10,2025,4,10,Thursday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,5299.73,1.17,
2025-04-11,2025,4,11,Friday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,1,6522.75,1.44,
2025-04-12,2025,4,12,Saturday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,6115.08,1.35,
2025-04-13,2025,4,13,Sunday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,3261.37,0.72,
2025-04-14,2025,4,14,Monday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,2853.7,0.63,
2025-04-15,2025,4,15,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,3487.86,0.77,
2025-04-16,2025,4,16,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,5979.19,1.32,
2025-04-17,2025,4,17,Thursday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,1,6477.45,1.43,
2025-04-18,2025,4,18,Friday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,1,7972.25,1.76,
2025-04-19,2025,4,19,Saturday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,1,7473.98,1.65,
2025-04-20,2025,4,20,Sunday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,3986.12,0.88,
2025-04-21,2025,4,21,Monday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,3487.86,0.77,
2025-04-22,2025,4,22,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,2853.7,0.63,
2025-04-23,2025,4,23,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,4892.06,1.08,
2025-04-24,2025,4,24,Thursday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,5299.73,1.17,
2025-04-25,2025,4,25,Friday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,1,6522.75,1.44,
2025-04-26,2025,4,26,Saturday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,6115.08,1.35,
2025-04-27,2025,4,27,Sunday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,3261.37,0.72,
2025-04-28,2025,4,28,Monday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,2853.7,0.63,
2025-04-29,2025,4,29,Tuesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,2853.7,0.63,
2025-04-30,2025,4,30,Wednesday,ABRIL,4,ALIMENTO,2,ENTRADAS,10010118.0,10010118.0,CHORIZO ARGENTINO,UND,0,4892.06,1.08,
2025-04-01,2025,4,1,Tuesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,4441.13,0.77,
2025-04-02,2025,4,2,Wednesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,7613.36,1.32,
2025-04-03,2025,4,3,Thursday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,8247.81,1.43,
2025-04-04,2025,4,4,Friday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,10151.15,1.76,
2025-04-05,2025,4,5,Saturday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,9516.7,1.65,
2025-04-06,2025,4,6,Sunday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,5075.58,0.88,
2025-04-07,2025,4,7,Monday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,4441.13,0.77,
2025-04-08,2025,4,8,Tuesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,3633.65,0.63,
2025-04-09,2025,4,9,Wednesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,6229.12,1.08,
2025-04-10,2025,4,10,Thursday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,6748.21,1.17,
2025-04-11,2025,4,11,Friday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,8305.49,1.44,
2025-04-12,2025,4,12,Saturday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,7786.39,1.35,
2025-04-13,2025,4,13,Sunday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,4152.74,0.72,
2025-04-14,2025,4,14,Monday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,3633.65,0.63,
2025-04-15,2025,4,15,Tuesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,4441.13,0.77,
2025-04-16,2025,4,16,Wednesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,7613.36,1.32,
2025-04-17,2025,4,17,Thursday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,8247.81,1.43,
2025-04-18,2025,4,18,Friday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,1,10151.15,1.76,
2025-04-19,2025,4,19,Saturday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,9516.7,1.65,
2025-04-20,2025,4,20,Sunday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,5075.58,0.88,
2025-04-21,2025,4,21,Monday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,4441.13,0.77,
2025-04-22,2025,4,22,Tuesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,3633.65,0.63,
2025-04-23,2025,4,23,Wednesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,6229.12,1.08,
2025-04-24,2025,4,24,Thursday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,6748.21,1.17,
2025-04-25,2025,4,25,Friday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,8305.49,1.44,
2025-04-26,2025,4,26,Saturday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,7786.39,1.35,
2025-04-27,2025,4,27,Sunday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,4152.74,0.72,
2025-04-28,2025,4,28,Monday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,3633.65,0.63,
2025-04-29,2025,4,29,Tuesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,3633.65,0.63,
2025-04-30,2025,4,30,Wednesday,ABRIL,4,ALIMENTO,1,Entrada Frias,,,JAMON BELLOTA 5J X 50G,UND,0,6229.12,1.08,
2025-04-01,2025,4,1,Tuesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,4.26,0.77,
2025-04-02,2025,4,2,Wednesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,7,7.3,1.32,
2025-04-03,2025,4,3,Thursday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,8,7.91,1.43,
2025-04-04,2025,4,4,Friday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,10,9.73,1.76,
2025-04-05,2025,4,5,Saturday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,9,9.12,1.65,
2025-04-06,2025,4,6,Sunday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,5,4.87,0.88,
2025-04-07,2025,4,7,Monday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,4.26,0.77,
2025-04-08,2025,4,8,Tuesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,3.48,0.63,
2025-04-09,2025,4,9,Wednesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,6,5.97,1.08,
2025-04-10,2025,4,10,Thursday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,6,6.47,1.17,
2025-04-11,2025,4,11,Friday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,8,7.96,1.44,
2025-04-12,2025,4,12,Saturday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,7,7.47,1.35,
2025-04-13,2025,4,13,Sunday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,3.98,0.72,
2025-04-14,2025,4,14,Monday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,3.48,0.63,
2025-04-15,2025,4,15,Tuesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,4.26,0.77,
2025-04-16,2025,4,16,Wednesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,7,7.3,1.32,
2025-04-17,2025,4,17,Thursday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,8,7.91,1.43,
2025-04-18,2025,4,18,Friday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,10,9.73,1.76,
2025-04-19,2025,4,19,Saturday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,9,9.12,1.65,
2025-04-20,2025,4,20,Sunday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,5,4.87,0.88,
2025-04-21,2025,4,21,Monday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,4.26,0.77,
2025-04-22,2025,4,22,Tuesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,3.48,0.63,
2025-04-23,2025,4,23,Wednesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,6,5.97,1.08,
2025-04-24,2025,4,24,Thursday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,6,6.47,1.17,
2025-04-25,2025,4,25,Friday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,8,7.96,1.44,
2025-04-26,2025,4,26,Saturday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,7,7.47,1.35,
2025-04-27,2025,4,27,Sunday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,3.98,0.72,
2025-04-28,2025,4,28,Monday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,3.48,0.63,
2025-04-29,2025,4,29,Tuesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,4,3.48,0.63,
2025-04-30,2025,4,30,Wednesday,ABRIL,25,ALIMENTO SABINA,105,ACOMPAÑANTES SABINA,120010135.0,120010135.0,PAN DE BIENVENIDA,UND,6,5.97,1.08,
2025-04-01,2025,4,1,Tuesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1733.03,0.77,
2025-04-02,2025,4,2,Wednesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,2970.9,1.32,
2025-04-03,2025,4,3,Thursday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3218.48,1.43,
2025-04-04,2025,4,4,Friday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3961.2,1.76,
2025-04-05,2025,4,5,Saturday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3713.63,1.65,
2025-04-06,2025,4,6,Sunday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1980.6,0.88,
2025-04-07,2025,4,7,Monday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1733.03,0.77,
2025-04-08,2025,4,8,Tuesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1417.93,0.63,
2025-04-09,2025,4,9,Wednesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,2430.74,1.08,
2025-04-10,2025,4,10,Thursday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,2633.3,1.17,
2025-04-11,2025,4,11,Friday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3240.98,1.44,
2025-04-12,2025,4,12,Saturday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3038.42,1.35,
2025-04-13,2025,4,13,Sunday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1620.49,0.72,
2025-04-14,2025,4,14,Monday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1417.93,0.63,
2025-04-15,2025,4,15,Tuesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1733.03,0.77,
2025-04-16,2025,4,16,Wednesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,2970.9,1.32,
2025-04-17,2025,4,17,Thursday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3218.48,1.43,
2025-04-18,2025,4,18,Friday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3961.2,1.76,
2025-04-19,2025,4,19,Saturday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3713.63,1.65,
2025-04-20,2025,4,20,Sunday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1980.6,0.88,
2025-04-21,2025,4,21,Monday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1733.03,0.77,
2025-04-22,2025,4,22,Tuesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1417.93,0.63,
2025-04-23,2025,4,23,Wednesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,2430.74,1.08,
2025-04-24,2025,4,24,Thursday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,2633.3,1.17,
2025-04-25,2025,4,25,Friday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3240.98,1.44,
2025-04-26,2025,4,26,Saturday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,1,3038.42,1.35,
2025-04-27,2025,4,27,Sunday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1620.49,0.72,
2025-04-28,2025,4,28,Monday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1417.93,0.63,
2025-04-29,2025,4,29,Tuesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,1417.93,0.63,
2025-04-30,2025,4,30,Wednesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010107.0,120010107.0,CANASTA DE PAN,UND,0,2430.74,1.08,
2025-04-01,2025,4,1,Tuesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010113.0,120010113.0,DESCORCHE VINO,UND,0,1299.83,0.77,
2025-04-02,2025,4,2,Wednesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010113.0,120010113.0,DESCORCHE VINO,UND,0,2228.28,1.32,
2025-04-03,2025,4,3,Thursday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010113.0,120010113.0,DESCORCHE VINO,UND,0,2413.97,1.43,
2025-04-04,2025,4,4,Friday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010113.0,120010113.0,DESCORCHE VINO,UND,0,2971.04,1.76,
2025-04-05,2025,4,5,Saturday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010113.0,120010113.0,DESCORCHE VINO,UND,0,2785.35,1.65,
2025-04-06,2025,4,6,Sunday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010113.0,120010113.0,DESCORCHE VINO,UND,0,1485.52,0.88,
2025-04-07,2025,4,7,Monday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010113.0,120010113.0,DESCORCHE VINO,UND,0,1299.83,0.77,
2025-04-08,2025,4,8,Tuesday,ABRIL,25,ALIMENTO SABINA,107,ADICIONALES SABINA,120010113.0,120010113.0,DESCORCHE VINO,UND,0,1063.5,0.63,
